Date,Bytes
2008-10-07,102904
2009-09-22,315263
2013-06-24,192419
2011-04-21,75296
2009-06-21,157038
2008-12-05,535752
2008-09-24,211929
2013-07-15,4500070
2009-02-04,257064
2013-03-02,1502688
2011-08-28,243273
2013-07-22,3295318
2013-05-06,724145
2012-08-21,455304
2013-05-05,481480
2013-05-04,873427
2012-05-29,338746
2012-12-10,1382334
2013-06-05,149469
2012-04-19,395050
2009-01-27,247076
2008-08-16,152645
2012-01-28,105680
2009-07-07,568400
2009-02-25,435437
2009-07-10,139794
2010-04-06,776603
2012-03-31,96559
2013-07-02,1339511
2009-09-30,2374983
2008-09-11,108172
2010-03-01,97049
2009-09-30,86373
2009-10-22,127946
2012-10-27,168341
2009-01-08,158583
2010-01-23,206624
2009-09-28,141707
2008-08-25,174439
2010-04-26,276320
2009-07-27,112451
2010-06-14,102868
2013-02-24,1413007
2013-01-31,1132166
2012-07-24,524227
2008-07-30,77000
2009-03-31,499989
2009-07-24,254304
2013-02-21,1097016
2012-03-22,522486
2013-07-20,1572894
2011-06-13,607053
2013-07-22,5488477
2013-01-21,45230
2008-08-26,56548
2009-07-03,773125
2010-06-03,252815
2010-08-31,151873
2010-03-31,348140
2009-10-10,664493
2010-04-19,841576
2009-10-19,54126
2013-01-18,278258
2008-12-05,633061
2010-06-10,251148
2010-05-20,170229
2008-10-28,324879
2008-07-18,205300
2012-12-29,497137
2011-05-10,518799
2009-05-11,771226
2012-06-19,591440
2009-05-10,61669
2008-09-12,83644
2012-05-25,847276
2010-05-25,385859
2011-12-02,623938
2010-01-22,525386
2008-07-18,410750
2010-02-28,481637
2010-04-25,56566
2011-12-13,1310542
2008-08-11,157400
2013-07-07,115890
2011-03-25,740299
2013-05-30,614642
2013-05-30,849407
2009-05-18,632488
2009-06-18,823851
2010-04-03,1146436
2008-09-19,680131
2013-05-01,1146040
2010-01-04,117733
2013-04-03,115170
2013-04-22,557420
2009-02-14,67319
2011-02-11,155659
2013-07-22,3590051
2010-06-07,961749
2010-04-08,894451
2012-10-17,1490884
2009-08-17,486636
2008-08-16,364215
2010-01-13,508305
2009-01-16,356596
2008-11-04,68155
2013-07-09,1839407
2008-08-04,232036
2012-12-15,91102
2009-03-22,88292
2010-04-28,122282
2013-06-19,598733
2011-01-06,155442
2009-08-20,139968
2011-06-28,1455946
2013-07-23,702304
2010-03-08,583342
2010-09-10,548647
2013-06-28,429642
2013-06-13,709860
2013-05-22,424944
2012-08-05,751089
2009-08-04,1277755
2009-02-03,142647
2008-12-05,148896
2012-09-09,402456
2011-03-31,98862
2008-07-26,89874
2009-07-05,978371
2008-11-12,120246
2013-06-11,2982967
2009-07-23,103064
2010-01-10,118791
2010-03-28,236494
2009-07-13,1155459
2008-09-27,111327
2013-03-08,1101627
2010-10-11,404327
