Date,NumFiles
2008-11-06,30
2008-11-01,50
2008-12-02,36
2010-05-06,27
2008-10-07,39
2009-09-22,45
2013-06-24,17
2011-04-21,22
2009-06-21,30
2008-12-05,30
2008-09-24,30
2013-07-15,285
2009-02-04,24
2013-03-02,234
2011-08-28,31
2013-07-22,249
2013-05-06,62
2012-08-21,34
2013-05-05,63
2013-05-04,77
2012-05-29,67
2012-12-10,78
2013-06-05,40
2012-04-19,92
2009-01-27,37
2008-08-16,16
2012-01-28,62
2009-07-07,58
2009-02-25,58
2009-07-10,40
2010-04-06,33
2012-03-31,16
2013-07-02,84
2009-09-30,47
2008-09-11,31
2010-03-01,28
2009-09-30,26
2009-10-22,14
2012-10-27,28
2009-01-08,40
2010-01-23,49
2009-09-28,35
2008-08-25,46
2010-04-26,44
2009-07-27,24
2010-06-14,27
2013-02-24,244
2013-01-31,139
2012-07-24,50
2008-07-30,15
2009-03-31,45
2009-07-24,31
2013-02-21,213
2012-03-22,79
2013-07-20,54
2011-06-13,35
2013-07-22,266
2013-01-21,11
2008-08-26,29
2009-07-03,109
2010-06-03,40
2010-08-31,34
2010-03-31,35
2009-10-10,54
2010-04-19,55
2009-10-19,21
2013-01-18,45
2008-12-05,42
2010-06-10,49
2010-05-20,40
2008-10-28,45
2008-07-18,53
2012-12-29,34
2011-05-10,75
2009-05-11,32
2012-06-19,79
2009-05-10,16
2008-09-12,20
2012-05-25,41
2010-05-25,27
2011-12-02,44
2010-01-22,27
2008-07-18,60
2010-02-28,93
2010-04-25,28
2011-12-13,123
2008-08-11,43
2013-07-07,24
2011-03-25,25
2013-05-30,41
2013-05-30,41
2009-05-18,49
2009-06-18,34
2010-04-03,65
2008-09-19,32
2013-05-01,143
2010-01-04,24
2013-04-03,23
2013-04-22,113
2009-02-14,23
2011-02-11,28
2013-07-22,276
2010-06-07,235
2010-04-08,101
2012-10-17,338
2009-08-17,131
2008-08-16,32
2010-01-13,46
2009-01-16,50
2008-11-04,21
2013-07-09,47
2008-08-04,31
2012-12-15,5
2009-03-22,12
2010-04-28,37
2013-06-19,70
2011-01-06,12
2009-08-20,17
2011-06-28,42
2013-07-23,26
2010-03-08,71
2010-09-10,114
2013-06-28,50
2013-06-13,80
2013-05-22,59
2012-08-05,103
2009-08-04,27
2009-02-03,30
2008-12-05,25
2012-09-09,63
2011-03-31,24
2008-07-26,28
2009-07-05,38
2008-11-12,19
2013-06-11,217
2009-07-23,34
2010-01-10,21
2010-03-28,61
2009-07-13,23
2008-09-27,11
2013-03-08,120
2010-10-11,43
2009-09-09,29
2009-10-07,20
2010-05-21,63
2012-05-04,339
2013-06-12,200
2010-10-16,63
2009-09-05,37
2010-11-02,51
2008-09-10,29
2013-01-05,282
2008-11-19,10
2009-11-17,29
2011-12-09,40
2012-12-30,49
2010-03-22,28
2009-01-27,47
2012-04-05,100
2013-06-24,19
2009-12-16,67
2010-01-29,38
2009-10-01,32
2008-08-06,25
2012-03-05,26
2008-11-12,21
2011-07-28,37
2009-03-06,29
2009-02-27,48
2008-07-23,23
2009-07-08,19
2009-02-20,11
2008-08-12,20
2011-09-02,38
2011-11-14,34
2010-10-15,38
2011-07-05,29
2013-05-03,42
2009-12-10,29
2012-11-10,33
2013-03-05,37
2013-06-28,43
2010-01-12,24
2010-12-05,43
2009-01-21,34
2008-11-29,35
2012-03-29,50
2012-11-16,30
2010-04-30,23
2009-05-06,68
2011-01-16,26
2008-10-28,16
2008-11-12,41
2009-08-13,143
2008-12-05,26
2013-07-16,45
2008-11-26,20
2012-09-29,68
2013-07-08,284
2010-05-09,59
2009-09-03,30
2010-05-24,57
2009-03-27,47
2010-09-29,27
2012-07-20,36
2008-08-05,20
2013-02-06,32
2009-02-25,53
2010-06-07,29
2013-07-07,25
2012-01-24,76
2010-04-06,31
2009-10-27,22
2013-01-07,202
2013-02-04,136
2008-07-18,21
2009-06-29,28
2009-11-04,48
2010-03-23,19
2008-08-26,36
2012-02-03,51
2013-06-20,299
2009-05-27,39
2009-08-22,43
2009-04-01,34
2011-09-22,42
2010-02-24,112
2009-08-13,14
2013-03-04,23
2012-03-19,29
2013-03-05,29
2008-11-07,34
2009-01-21,35
2011-08-28,33
2008-09-14,28
2011-11-15,55
2008-11-07,18
2009-04-24,38
2010-04-30,38
2012-03-27,46
2012-06-09,31
2008-10-04,33
2012-12-07,70
2012-12-14,143
2008-10-13,18
2008-09-07,13
2010-04-06,59
2013-01-02,28
2013-02-15,39
2013-07-17,39
2013-03-05,28
2008-11-03,18
2010-02-05,24
2009-09-02,34
2010-01-02,111
2010-04-16,53
2010-02-05,39
2009-07-29,22
2013-07-08,31
2010-01-22,29
2008-09-21,29
2010-11-01,35
2009-01-05,14
2009-06-16,42
2008-07-30,19
2012-11-05,147
2013-03-05,30
2013-07-26,227
2009-04-30,17
2012-07-22,69
2008-08-12,25
2009-06-15,32
2010-03-26,37
2012-11-10,56
2013-06-24,19
2013-07-02,70
2012-05-16,44
2010-02-21,90
2009-09-23,34
2010-05-25,43
2009-09-10,62
2009-01-29,39
2009-05-10,37
2012-08-31,4
2008-10-03,28
2013-01-09,143
2010-08-30,269
2010-03-02,55
2009-10-22,28
2012-12-04,35
2010-04-20,24
2010-04-27,66
2011-08-03,98
2013-07-22,259
2009-08-07,31
2013-03-12,30
2009-07-31,52
2009-10-05,37
2011-12-25,57
2010-03-16,34
2010-01-14,19
2009-08-25,31
2010-06-06,12
2009-09-10,21
2009-12-13,191
2012-04-21,24
2009-04-28,30
2008-12-27,22
2013-03-12,72
2013-06-28,50
2013-02-25,58
2013-07-19,219
2013-03-04,48
2012-09-01,55
2009-08-07,139
2009-01-13,39
2008-08-05,57
2010-03-31,134
2008-11-12,19
2010-01-03,74
2013-07-22,239
2009-05-29,23
2012-07-28,115
2009-11-29,26
2009-12-29,18
2008-08-19,19
2008-11-22,30
2010-04-27,58
2008-08-15,17
2010-04-05,33
2013-02-03,109
2011-11-28,54
2010-11-14,47
2010-04-20,79
2009-04-21,57
2008-07-28,39
2011-08-12,39
2011-05-13,56
2010-06-14,26
2009-12-06,55
2009-05-12,24
2010-04-21,61
2008-11-13,14
2010-03-29,28
2011-06-26,40
2010-01-13,59
2009-01-19,19
2008-09-30,23
2010-03-22,54
2012-09-24,29
2008-09-24,14
2009-03-18,68
2009-03-22,79
2010-06-11,48
2012-08-20,59
2010-01-19,31
2009-09-12,33
2012-02-21,12
2008-10-04,22
2011-06-23,26
2012-06-29,78
2010-05-23,32
2009-08-31,22
2009-04-28,29
2008-10-02,27
2008-10-03,28
2008-12-23,26
2011-10-06,28
2013-05-06,34
2010-10-19,67
2010-04-08,8
2009-01-18,38
2009-04-13,30
2008-08-21,31
2012-07-25,23
2013-07-03,81
2008-09-09,22
2011-04-08,48
2012-07-17,26
2010-04-27,26
2008-11-15,33
2008-09-11,36
2008-09-15,37
2009-08-04,18
2008-08-28,29
2010-02-19,23
2011-07-23,31
2012-05-21,41
2009-07-15,43
2011-06-05,35
2011-01-03,88
2009-07-22,29
2011-08-25,26
2013-05-30,107
2008-12-17,64
2010-05-02,18
2010-08-24,22
2013-01-04,155
2008-08-20,38
2013-01-25,47
2009-01-28,26
2013-05-04,279
2010-09-15,24
2009-11-12,38
2008-10-13,23
2009-03-31,21
2009-05-08,24
2009-03-08,54
2012-06-13,50
2012-04-25,42
2010-09-14,69
2010-01-20,32
2012-07-23,25
2009-02-17,31
2010-04-05,49
2010-01-04,28
2009-08-03,20
2008-08-04,44
2009-08-30,25
2011-04-26,28
2013-07-04,60
2009-06-01,14
2013-07-26,56
2008-09-13,26
2011-03-14,17
2012-10-15,31
2012-02-29,35
2013-06-28,52
2011-02-22,23
2013-05-07,456
2008-12-28,22
2013-07-22,194
2009-01-22,27
2011-07-25,83
2013-03-03,108
2013-02-22,82
2008-09-24,20
2010-08-17,20
2010-04-12,133
2009-07-08,66
2008-09-16,23
2008-11-04,62
2013-06-28,55
2008-07-30,13
2008-11-05,22
2013-01-09,40
2011-07-05,21
2012-07-15,41
2008-09-15,26
2008-07-30,20
2013-01-15,39
2008-09-10,27
2010-03-19,35
2010-06-18,116
2009-04-07,28
2012-10-02,51
2008-08-08,13
2009-04-16,24
2009-10-07,22
2013-01-29,49
2013-07-23,78
2009-01-19,21
2009-08-26,31
2009-06-21,30
2008-09-29,20
2008-10-04,18
2008-12-07,28
2008-12-07,29
2010-09-13,36
2011-01-07,15
2008-07-18,57
2010-10-10,46
2013-06-19,43
2011-10-04,51
2010-03-29,35
2009-08-22,37
2008-11-19,16
2009-07-05,50
2010-10-11,36
2013-05-01,29
2010-06-06,125
2011-10-02,15
2013-06-03,47
2013-04-19,190
2011-01-18,35
2009-06-18,39
2011-09-14,32
2009-09-15,21
2013-07-20,75
2009-12-16,32
2011-02-15,41
2008-08-08,19
2008-09-09,23
2013-01-10,99
2012-07-04,94
2012-03-28,111
2013-07-18,7
2008-07-31,41
2008-12-16,36
2010-01-26,18
2013-01-23,78
2009-10-20,120
2012-12-15,25
2013-03-24,24
2013-07-17,74
2010-06-20,19
2013-07-22,26
2013-07-22,43
2008-08-27,20
2013-04-11,140
2013-07-22,27
2013-07-22,36
2009-06-24,22
2013-07-22,29
2011-10-13,37
2008-09-22,45
2008-11-11,37
2011-06-10,44
2009-10-27,16
2009-06-24,31
2009-03-22,83
2012-05-14,42
2009-06-09,28
2011-03-02,41
2009-12-18,27
2008-08-20,22
2009-06-16,40
2012-02-03,46
2009-03-01,26
2008-10-26,84
2012-12-20,32
2011-08-30,79
2008-08-04,27
2012-11-22,48
2008-10-03,20
2013-06-13,252
2010-01-26,23
2008-11-12,25
2008-07-31,17
2009-06-16,18
2012-07-04,32
2009-08-26,42
2012-08-26,206
2013-01-18,51
2012-03-11,19
2012-05-06,7
2011-07-28,38
2013-06-28,44
2013-05-31,34
2010-01-09,70
2010-02-09,116
2012-07-23,13
2008-08-05,14
2008-11-04,32
2009-02-20,13
2009-03-23,29
2009-06-04,25
2013-07-18,36
2012-09-28,37
2009-04-21,19
2012-03-19,25
2009-07-19,27
2010-04-20,25
2013-06-28,63
2012-11-18,166
2013-06-10,109
2009-01-24,18
2013-04-09,124
2009-07-22,33
2008-11-19,16
2012-02-13,35
2010-01-30,13
2009-02-19,26
2008-08-04,22
2009-12-29,37
2008-11-15,26
2013-06-28,54
2009-08-07,56
2009-10-10,22
2010-05-03,38
2013-03-23,86
2012-03-18,34
2008-12-22,33
2009-12-08,20
2011-08-01,23
2011-09-23,38
2013-02-03,80
2009-03-04,18
2008-10-28,22
2010-04-17,119
2013-06-05,31
2013-07-25,124
2013-02-28,152
2010-10-19,21
2008-07-27,20
2008-09-08,23
2013-03-06,181
2013-07-23,112
2013-07-07,59
2009-04-13,46
2009-10-12,39
2009-10-14,32
2009-12-14,46
2009-06-30,37
2009-10-27,14
2013-06-19,565
2009-03-09,46
2011-09-27,65
2013-01-04,32
2009-07-28,59
2010-04-04,40
2013-02-19,20
2010-05-14,59
2012-01-29,69
2013-01-05,65
2013-06-07,25
2011-05-31,37
2010-09-15,27
2008-10-01,31
2008-08-04,28
2010-05-12,33
2013-03-01,50
2013-01-13,162
2009-05-03,35
2009-01-31,36
2010-10-26,46
2013-01-30,34
2008-08-08,29
2008-10-04,25
2009-04-06,65
2010-01-17,93
2013-06-24,21
2012-02-24,43
2013-02-13,32
2009-02-08,20
2011-02-02,24
2013-07-15,41
2010-06-06,109
2009-01-02,53
2013-05-25,48
2013-05-25,28
2013-06-06,53
2010-01-28,29
2012-08-27,124
2009-03-09,34
2013-07-11,60
2013-01-27,53
2013-06-28,54
2013-06-28,58
2013-07-23,129
2012-02-19,81
2008-10-04,32
2011-02-26,50
2008-10-28,21
2013-07-09,27
2009-01-23,27
2009-03-20,22
2013-01-20,341
2010-05-24,30
2011-07-09,45
2009-06-18,32
2011-01-05,37
2009-12-12,31
2009-03-13,20
2008-08-07,31
2008-09-23,23
2012-12-20,320
2009-08-23,21
2012-05-27,21
2009-11-17,30
2012-11-26,200
2012-08-15,31
2008-09-03,22
2013-07-01,58
2009-11-24,39
2013-07-26,75
2011-02-26,17
2010-03-22,42
2012-03-08,47
2008-12-18,28
2009-07-27,42
2010-04-09,23
2012-09-10,99
2009-09-21,36
2010-11-01,47
2010-07-16,37
2010-08-16,24
2011-08-03,27
2009-03-25,41
2013-01-26,120
2008-08-11,38
2013-01-24,29
2011-01-23,27
2012-08-14,109
2008-07-28,34
2013-01-22,36
2012-08-22,145
2010-05-03,37
2013-01-11,59
2013-02-24,38
2013-01-29,66
2009-09-06,46
2011-02-10,47
2012-09-25,14
2012-09-25,15
2009-05-13,26
