Date,BytesNoImages
2009-09-22,291699
2013-06-24,192419
2011-04-21,75296
2009-06-21,157038
2008-12-05,272937
2008-09-24,133813
2013-07-15,4149998
2009-02-04,148684
2013-03-02,1502688
2011-08-28,243273
2013-07-22,2581502
2013-05-06,454303
2012-08-21,227359
2013-05-05,319343
2013-05-04,712730
2012-05-29,312123
2012-12-10,531840
2013-06-05,149469
2012-04-19,392880
2009-01-27,247076
2008-08-16,124568
2012-01-28,85789
2009-07-07,568400
2009-02-25,369240
2009-07-10,119707
2010-04-06,776603
2012-03-31,50685
2013-07-02,1300966
2009-09-30,169563
2008-09-11,102211
2010-03-01,95987
2009-09-30,86373
2009-10-22,36839
2012-10-27,168341
2009-01-08,146551
2010-01-23,196704
2009-09-28,96011
2008-08-25,72283
2010-04-26,260721
2009-07-27,67029
2010-06-14,83616
2013-02-24,1413007
2013-01-31,1020506
2012-07-24,524227
2008-07-30,77000
2009-03-31,499989
2009-07-24,131534
2013-02-21,1097016
2012-03-22,359034
2013-07-20,1572894
2011-06-13,526690
2013-07-22,5269039
2013-01-21,45230
2008-08-26,56548
2009-07-03,759409
2010-06-03,252815
2010-08-31,151873
2010-03-31,243421
2009-10-10,653079
2010-04-19,841576
2009-10-19,54126
2013-01-18,261051
2008-12-05,475284
2010-06-10,208239
2010-05-20,129430
2008-10-28,324879
2008-07-18,106454
2012-12-29,475109
2011-05-10,330990
2009-05-11,668517
2012-06-19,468024
2009-05-10,61669
2008-09-12,63007
2012-05-25,542721
2010-05-25,385859
2011-12-02,298466
2010-01-22,431307
2008-07-18,308210
2010-02-28,472284
2010-04-25,56566
2011-12-13,1310542
2008-08-11,119924
2013-07-07,115890
2011-03-25,730362
2013-05-30,614642
2013-05-30,376904
2009-05-18,571780
2009-06-18,823851
2010-04-03,1146436
2008-09-19,671046
2013-05-01,856517
2010-01-04,117733
2013-04-03,115170
2013-04-22,523242
2009-02-14,57150
2011-02-11,155659
2013-07-22,2718479
2010-06-07,679201
2010-04-08,227783
2012-10-17,603564
2009-08-17,440373
2008-08-16,212577
2010-01-13,129625
2009-01-16,157237
2008-11-04,68155
2013-07-09,1173267
2008-08-04,190334
2012-12-15,91102
