Date,BytesNoImages
2009-07-02,486587
2009-12-29,65278
2013-01-11,454342
2009-03-16,121808
2010-06-17,210264
2009-07-15,183330
2009-10-20,222261
2013-02-28,1863841
2008-12-22,86572
2008-11-09,130255
2009-02-04,100913
2009-02-10,93911
2008-10-20,164987
2013-07-25,226180
2009-07-09,101761
2010-08-12,120853
2009-04-28,596168
2013-03-14,214838
2013-07-08,1548909
2012-07-18,684293
2009-04-18,43630
2011-01-20,178051
2011-08-23,123592
2010-10-15,164082
2012-10-13,123358
2009-08-17,174331
2009-08-10,311096
2009-09-21,98365
2013-06-10,2677283
2012-05-03,1631785
2009-01-18,62500
2009-10-01,428704
2009-10-07,2215806
2011-02-25,307579
2012-04-27,294368
2009-01-06,84166
2008-11-12,133244
2008-09-29,30110
2010-05-06,143068
2013-05-12,425100
2008-07-31,67656
2009-02-09,103007
2010-06-08,1185738
2008-09-30,1504946
2009-01-20,168189
2009-12-11,112776
2009-10-26,157966
2013-02-07,367584
2011-06-21,115362
2011-08-03,451352
2011-07-11,371853
2012-08-02,275203
2010-06-03,246224
2009-08-05,106126
2008-11-07,106051
2011-10-13,3931727
2013-05-10,947374
2009-10-02,295671
2012-12-02,414847
2012-12-19,492396
2011-04-19,702399
2008-12-03,665122
2010-05-12,151921
2013-06-01,187494
2008-12-17,159663
2009-08-29,136961
2012-12-11,472976
2013-07-07,429819
2010-02-02,111112
2009-05-31,59467
2012-10-16,399772
2012-01-02,106507
2009-04-10,134635
2008-07-19,129033
2010-01-08,103171
2008-08-20,223633
2010-01-03,131195
2009-07-25,244697
2008-07-27,105619
2008-08-02,88710
2008-11-04,66543
2011-08-21,378056
2009-01-12,226499
2010-05-17,119190
2013-02-12,520218
2010-06-09,99047
2009-01-30,223946
2013-04-16,459582
2013-04-16,380464
2013-06-21,360446
2013-06-21,341799
2013-06-03,350274
2013-06-03,367955
2013-02-23,650584
2013-06-28,381966
2013-06-28,443977
2012-12-16,402595
2012-12-16,391609
2013-01-11,321462
2012-06-21,1302324
2010-05-27,160079
2009-05-28,108137
2010-05-16,65727
2008-12-09,106599
2008-11-27,143710
2010-06-09,129882
2012-01-26,292515
2010-06-09,69403
2011-09-04,107431
